nohup: ignoring input
Warning : `load_model` does not return WordVectorModel or SupervisedModel any more, but a `FastText` object which is very similar.
2023-03-03 11:34:31,645 log.log INFO query input:你知道碧昂斯吗
2023-03-03 11:34:31,645 log.log INFO query rewrite output:你知道碧昂斯吗
Building prefix dict from the default dictionary ...
Loading model from cache /tmp/jieba.cache
Loading model cost 0.616 seconds.
Prefix dict has been built successfully.
2023-03-03 11:34:33,054 log.log INFO predict class:Chat
2023-03-03 11:34:33,054 log.log INFO score:0.619594274762887
2023-03-03 11:34:33,054 log.log INFO dm response :知道啊,她是我最喜欢的女演员 

2023-03-03 11:34:33,055 log.log INFO query input:他的第一张专辑叫什么
碧昂斯的第一张专辑叫什么 0.9959218502044678
2023-03-03 11:34:33,728 log.log INFO query rewrite output:碧昂斯的第一张专辑叫什么
2023-03-03 11:34:34,015 log.log INFO predict class:DocQa
2023-03-03 11:34:34,015 log.log INFO score:0.80284846
2023-03-03 11:34:34,015 log.log INFO dm response :危险爱情 

2023-03-03 11:52:12,155 log.log INFO query input:长江在哪里
2023-03-03 11:52:12,155 log.log INFO query rewrite output:长江在哪里
2023-03-03 11:52:12,379 log.log INFO predict class:DocQa
2023-03-03 11:52:12,379 log.log INFO score:1.0
2023-03-03 11:52:12,379 log.log INFO dm response :不好意思，我目前还不知这个问题的答案，我会继续学习的！ 

2023-03-03 11:52:20,198 log.log INFO query input:长江多长啊
我长江多长啊 0.7170044779777527
2023-03-03 11:52:20,860 log.log INFO query rewrite output:长江多长啊
2023-03-03 11:52:21,114 log.log INFO predict class:DocQa
2023-03-03 11:52:21,115 log.log INFO score:0.770471
2023-03-03 11:52:21,115 log.log INFO dm response :全长6300公里 

2023-03-03 11:52:26,805 log.log INFO query input:长江经过江苏吗
长江经过江苏吗 0.6854304075241089
2023-03-03 11:52:27,432 log.log INFO query rewrite output:长江经过江苏吗
2023-03-03 11:52:28,201 log.log INFO predict class:Chat
2023-03-03 11:52:28,202 log.log INFO score:0.520708331121191
2023-03-03 11:52:28,202 log.log INFO dm response :不经过 

2023-03-03 13:33:28,975 log.log INFO query input:
2023-03-03 13:33:28,995 log.log INFO predict class:
2023-03-03 13:33:28,996 log.log INFO score:1.0
2023-03-03 13:33:28,996 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-03 13:33:48,247 log.log INFO query input:
2023-03-03 13:33:48,263 log.log INFO predict class:
2023-03-03 13:33:48,263 log.log INFO score:1.0
2023-03-03 13:33:48,263 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-03 13:33:56,879 log.log INFO query input:
2023-03-03 13:33:56,898 log.log INFO predict class:
2023-03-03 13:33:56,898 log.log INFO score:1.0
2023-03-03 13:33:56,898 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-03 13:56:46,791 log.log INFO query input:
2023-03-03 13:56:46,805 log.log INFO predict class:
2023-03-03 13:56:46,805 log.log INFO score:1.0
2023-03-03 13:56:46,806 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-03 13:59:46,609 log.log INFO query input:
2023-03-03 13:59:46,625 log.log INFO predict class:
2023-03-03 13:59:46,625 log.log INFO score:1.0
2023-03-03 13:59:46,625 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-03 14:08:56,138 log.log INFO query input:2020年欧冠冠军是谁
2023-03-03 14:08:56,139 log.log INFO query rewrite output:2020年欧冠冠军是谁
2023-03-03 14:08:56,429 log.log INFO predict class:DocQa
2023-03-03 14:08:56,429 log.log INFO score:0.78787076
2023-03-03 14:08:56,429 log.log INFO dm response :皇家马德里 

2023-03-03 14:11:09,711 log.log INFO query input:去年欧冠冠军是谁
2023-03-03 14:11:09,711 log.log INFO query rewrite output:去年欧冠冠军是谁
2023-03-03 14:11:10,022 log.log INFO predict class:DocQa
2023-03-03 14:11:10,022 log.log INFO score:0.79022187
2023-03-03 14:11:10,022 log.log INFO dm response :皇家马德里 

2023-03-03 18:12:40,379 log.log INFO query input:
2023-03-03 18:12:40,392 log.log INFO predict class:
2023-03-03 18:12:40,392 log.log INFO score:1.0
2023-03-03 18:12:40,392 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-03 18:13:25,528 log.log INFO query input:
2023-03-03 18:13:25,539 log.log INFO predict class:
2023-03-03 18:13:25,539 log.log INFO score:1.0
2023-03-03 18:13:25,539 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-03 18:17:44,130 log.log INFO query input:
2023-03-03 18:17:44,148 log.log INFO predict class:
2023-03-03 18:17:44,148 log.log INFO score:1.0
2023-03-03 18:17:44,148 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-03 18:18:36,417 log.log INFO query input:
2023-03-03 18:18:36,435 log.log INFO predict class:
2023-03-03 18:18:36,435 log.log INFO score:1.0
2023-03-03 18:18:36,435 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-03 18:18:48,751 log.log INFO query input:
2023-03-03 18:18:48,770 log.log INFO predict class:
2023-03-03 18:18:48,770 log.log INFO score:1.0
2023-03-03 18:18:48,770 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-03 18:19:19,859 log.log INFO query input:
2023-03-03 18:19:19,876 log.log INFO predict class:
2023-03-03 18:19:19,876 log.log INFO score:1.0
2023-03-03 18:19:19,876 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-03 18:19:25,430 log.log INFO query input:
2023-03-03 18:19:25,444 log.log INFO predict class:
2023-03-03 18:19:25,444 log.log INFO score:1.0
2023-03-03 18:19:25,444 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-03 18:43:15,634 log.log INFO query input:
2023-03-03 18:43:15,645 log.log INFO predict class:
2023-03-03 18:43:15,646 log.log INFO score:1.0
2023-03-03 18:43:15,646 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-03 18:43:32,289 log.log INFO query input:
2023-03-03 18:43:32,300 log.log INFO predict class:
2023-03-03 18:43:32,300 log.log INFO score:1.0
2023-03-03 18:43:32,300 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-03 18:44:24,359 log.log INFO query input:
2023-03-03 18:44:24,373 log.log INFO predict class:
2023-03-03 18:44:24,373 log.log INFO score:1.0
2023-03-03 18:44:24,373 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-03 18:44:34,969 log.log INFO query input:
2023-03-03 18:44:34,983 log.log INFO predict class:
2023-03-03 18:44:34,983 log.log INFO score:1.0
2023-03-03 18:44:34,983 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-03 18:44:52,077 log.log INFO query input:
2023-03-03 18:44:52,088 log.log INFO predict class:
2023-03-03 18:44:52,088 log.log INFO score:1.0
2023-03-03 18:44:52,089 log.log INFO dm response :不好意思，我没听清你在说啥 

